,0
0,8.042688604857169
1,7.979894931999945
2,7.951923988571439
3,7.793821603999955
4,7.924659268571478
5,7.87116211999997
6,7.92145892538099
7,7.816103819999993
8,7.860188800000048
9,7.8727199410000575
10,7.6563734199999764
11,7.7747291649999575
12,7.607266039999963
13,7.6159155550000035
14,7.615500461333329
15,7.564696039036042
16,7.624683219999996
17,7.636785099999958
18,7.454495420000033
19,7.564615159999964
20,7.552969799333293
21,7.647946713333381
22,7.917333508571468
23,7.589679909857101
24,7.711771533333352
25,7.368839259999972
26,7.484062860000035
27,7.412435808333286
28,7.729035440000057
29,7.571683455000024
30,7.46897452000006
31,7.493659000000028
32,7.398902331666627
33,7.626339683333331
34,7.409450271666668
35,7.3675027149602945
36,7.309997472190462
37,7.284021899999955
38,7.391514493333329
39,7.447705640666621
40,7.713443650000041
41,7.428891546666713
42,7.501197200000047
43,7.374993026666652
44,7.458915759333339
45,7.512546627000024
46,7.496487346666713
47,7.791645746666638
48,7.439246593333371
49,7.613966259999971
50,7.877010539999964
51,7.192447624000056
52,7.279368561714234
53,7.366801978761938
54,7.752159116000019
55,7.215951279999991
56,7.659720239999979
57,7.529517234952413
58,7.186536229380996
59,7.280116820000035
60,7.487879917000049
61,8.222650840000044
62,7.169154980000022
63,7.264704812727292
64,7.784992704857169
65,7.244979299333377
66,7.35513203895244
67,7.253520747333325
68,7.161418263999989
69,7.348800349999969
70,7.050695763809518
71,7.150129169999944
72,7.177429316904772
73,6.894025920000023
74,7.639334636000037
75,7.338562480000015
76,6.901767076444454
77,7.008229236666663
78,7.806790811666635
79,7.224954475952386
80,5.863086479999997
81,7.436201374380996
82,7.654464319999957
83,7.770648522000021
84,7.798449970476195
85,6.970957893333365
86,7.213033010000023
87,7.071220205650771
88,7.797323513333314
89,7.06593199000003
90,6.98630447796829
91,6.954869899333343
92,7.908031626571483
93,7.041115431904805
94,6.788279089333356
95,7.2553376399999845
96,7.747270860000052
97,6.973533280000025
98,7.016860679999944
99,6.840647834999994
100,7.478868639999983
101,7.118662178095212
102,7.347376502857146
103,6.840704360000024
104,7.5278658111110675
105,6.980542371428583
106,6.977587409333321
107,6.995188565714257
108,7.253267404000031
109,6.905769400000059
110,6.954290246666663
111,6.839694734999993
112,7.108685124476144
113,6.777532874999958
114,7.2532625199999385
115,7.005257679999934
116,6.977740354619002
117,7.4347672599999814
118,7.332090534999964
119,7.035424429999992
120,7.594261059999998
121,6.924167860000047
122,6.764317530126975
123,7.456291400000023
124,6.876383759999976
125,7.142775380000028
126,6.922298869999961
127,6.846626527333349
128,7.132632983333348
129,6.955602279999994
130,6.886175658999975
131,7.323007479999982
132,7.163791239999982
133,7.243405224999978
134,8.433461492000049
135,7.164458825333339
136,6.8462902253333615
137,7.133376000000028
138,6.847027740000035
139,6.951346799999947
140,6.842967594999953
141,7.409518299999954
142,6.977234456666679
143,6.762533265714284
144,7.779698933809529
145,6.799501713333323
146,6.8728503319999605
147,7.1495674644762195
148,7.663310060000026
149,6.971722663333288
150,7.424429542857121
151,7.019173449904766
152,7.071563200000049
153,6.706280506666623
154,6.905385897142856
155,7.1473107549999595
156,6.826635623333303
157,6.599210220000035
158,6.783505633333324
159,7.403590959999985
160,7.888527640000038
161,6.829746091904747
162,7.862495949999976
163,6.91811125199999
164,6.5876036333333206
165,6.563020753333331
166,6.54038396599999
167,6.558656214285699
168,6.97141977133337
169,6.917568733333327
170,7.058971829999988
171,6.628995680000001
172,6.647898019999945
173,6.7547299600000414
174,6.784935919333324
175,6.979175812333316
176,7.145933875587272
177,6.844312527428562
178,6.870025320000033
179,6.404994510000003
180,6.64785457999998
181,7.250522009999951
182,7.001899099999954
183,6.570014142500024
184,6.629092188571449
185,6.797891380000027
186,7.209718019999972
187,6.713073373333331
188,6.578371809999967
189,7.370090551999973
190,6.621424100000033
191,6.661106219999975
192,7.96834729333332
193,6.6301227033333765
194,7.038242542539737
195,6.9033317079999685
196,7.2147637200000165
197,6.943023739999979
198,6.6657821266666595
199,6.832449581428578
200,7.582364187142848
201,6.88841545499999
202,7.223494532000003
203,6.410786540000035
204,6.762202126666632
205,6.511496145000038
206,7.166606687999948
207,7.241923649999968
208,6.827579760000037
209,7.305086226666695
210,6.5915326249999975
211,6.687308900000021
212,6.612182023999973
213,7.454241770238088
214,6.582473336166695
215,7.215711246666624
216,6.995634179999955
217,6.5548356306666875
218,6.565377343571449
219,6.4137088071428465
220,6.607768779999981
221,7.586163979999952
222,6.630813530000005
223,6.470533871999995
224,6.545483682500027
225,6.783533620666686
226,6.5541484200000575
227,6.67966475023814
228,7.275179220000023
229,7.5545472600000485
230,6.997503672000028
231,6.876869523999979
232,7.45412223000001
233,7.728004123333351
234,6.812111421880972
235,6.325937283333328
236,7.003395431333329
237,6.469030393333366
238,6.573319341809558
239,6.519430019999982
240,6.498523413333366
241,6.8666273100000454
242,7.640250199999966
243,6.526000379999966
244,6.498060106666698
245,6.437059840000021
246,7.2845582360000165
247,6.956594493333367
248,7.037240690761913
249,6.818796014404733
250,6.795849386666706
251,5.942122680000009
252,6.6129086933333365
253,7.037023650666673
254,6.6495258650000135
255,6.95213507499998
256,7.469208843999987
257,6.954567399999987
258,6.6447167900000155
259,6.2999710149999935
260,6.511677206666688
261,6.768943991999975
262,6.8299321546666825
263,6.496712199999997
264,6.987220516666673
265,6.945737833333335
266,7.212145219999983
267,6.592784946666669
268,6.588111799999984
269,7.809119920000036
270,6.708176183999975
271,6.773930493333292
272,6.901281221333338
273,6.641248450000017
274,6.508871620000001
275,6.468766113333355
276,6.922849691999951
277,6.1972181733333285
278,7.828599929999972
279,6.8498192985714
280,6.505632088
281,6.591189383999957
282,7.559847893333301
283,6.4978177450000105
284,6.934432092000024
285,7.459860940476178
286,7.498734980000047
287,6.972941355666606
288,6.6097408116666845
289,6.592186559999994
290,6.582361420000008
291,6.877064970000008
292,6.782696245000008
